category	slug	result	destination	remote_url
mud	dragon-mud	cloned	reference-library/crpg-mud/repositories/mud/dragon-mud	https://github.com/bbuck/dragon-mud.git
mud	currymud	cloned	reference-library/crpg-mud/repositories/mud/currymud	https://github.com/jasonstolaruk/CurryMUD.git
mud	talesmud	cloned	reference-library/crpg-mud/repositories/mud/talesmud	https://github.com/TalesMUD/talesmud.git
mud	dumserver	cloned	reference-library/crpg-mud/repositories/mud/dumserver	https://github.com/wowpin/dumserver.git
mud	room-js	cloned	reference-library/crpg-mud/repositories/mud/room-js	https://github.com/doughsay/room.js.git
mud	empiremud	cloned	reference-library/crpg-mud/repositories/mud/empiremud	https://github.com/EmpireMUD/EmpireMUD-2.0-Beta.git
mud	nakedmud	cloned	reference-library/crpg-mud/repositories/mud/nakedmud	https://github.com/NakedMud/nakedmud.git
mud	lowlands	cloned	reference-library/crpg-mud/repositories/mud/lowlands	https://github.com/scandum/lowlands.git
mud	awakemud	cloned	reference-library/crpg-mud/repositories/mud/awakemud	https://github.com/luciensadi/AwakeMUD.git
mud	darkcastle	cloned	reference-library/crpg-mud/repositories/mud/darkcastle	https://github.com/DarkCastleMUD/DarkCastle.git
mud	dreamland-code	cloned	reference-library/crpg-mud/repositories/mud/dreamland-code	https://github.com/dreamland-mud/dreamland_code.git
mud	rom24-quickmud	cloned	reference-library/crpg-mud/repositories/mud/rom24-quickmud	https://github.com/avinson/rom24-quickmud.git
mud	dawnoftime	cloned	reference-library/crpg-mud/repositories/mud/dawnoftime	https://github.com/driador/dawnoftime.git
mud	dikumud3	cloned	reference-library/crpg-mud/repositories/mud/dikumud3	https://github.com/Seifert69/DikuMUD3.git
mud	dikumud	cloned	reference-library/crpg-mud/repositories/mud/dikumud	https://github.com/Seifert69/DikuMUD.git
mud	dikumud2	cloned	reference-library/crpg-mud/repositories/mud/dikumud2	https://github.com/Seifert69/DikuMUD2.git
mud	dikumud-gamma	cloned	reference-library/crpg-mud/repositories/mud/dikumud-gamma	https://github.com/Seifert69/DikuMUD-Gamma.git
mud	deadsouls	cloned	reference-library/crpg-mud/repositories/mud/deadsouls	https://github.com/quixadhal/deadsouls.git
mud	agony-engine	cloned	reference-library/crpg-mud/repositories/mud/agony-engine	https://github.com/scionaltera/agony-engine.git
mud	agonyforge	cloned	reference-library/crpg-mud/repositories/mud/agonyforge	https://github.com/scionaltera/agonyforge.git
mud	ennui	cloned	reference-library/crpg-mud/repositories/mud/ennui	https://github.com/pmengelbert/ennui.git
mud	node-mud-server	cloned	reference-library/crpg-mud/repositories/mud/node-mud-server	https://github.com/jakefournier/node-mud-server.git
mud	mud-server-java	cloned	reference-library/crpg-mud/repositories/mud/mud-server-java	https://github.com/jnharton/mud-server.git
mud	four	cloned	reference-library/crpg-mud/repositories/mud/four	https://github.com/nijakow/four.git
mud	bbs-mud	cloned	reference-library/crpg-mud/repositories/mud/bbs-mud	https://github.com/prool/bbs-mud.git
mud	virtustan-mud	cloned	reference-library/crpg-mud/repositories/mud/virtustan-mud	https://github.com/prool/virtustan-mud.git
mud	tada	cloned	reference-library/crpg-mud/repositories/mud/tada	https://github.com/Pinacolada64/TADA.git
